MTPR from pot.mtp, Database: train.cfg
BFGS iterations count set to 500
BFGS convergence tolerance set to 0.001
Energy weight: 1
Force weight: 0.01
Stress weight: 0.001
MTPR parallel training started
BFGS iter 0: f=0.000959779
BFGS iter 1: f=0.000959778
BFGS iter 2: f=0.000959766
BFGS iter 3: f=0.000959762
BFGS iter 4: f=0.000959745
BFGS iter 5: f=0.000959731
BFGS iter 6: f=0.000959702
BFGS iter 7: f=0.000959674
BFGS iter 8: f=0.00095965
BFGS iter 9: f=0.000959588
BFGS iter 10: f=0.00095946
BFGS iter 11: f=0.000959298
BFGS iter 12: f=0.000959227
BFGS iter 13: f=0.000959129
BFGS iter 14: f=0.000959078
BFGS iter 15: f=0.000959053
BFGS iter 16: f=0.000959022
BFGS iter 17: f=0.000958914
BFGS iter 18: f=0.000958888
BFGS iter 19: f=0.000958863
BFGS iter 20: f=0.000958836
BFGS iter 21: f=0.000958777
BFGS iter 22: f=0.000958685
BFGS iter 23: f=0.000958632
BFGS iter 24: f=0.000958612
BFGS iter 25: f=0.000958582
BFGS iter 26: f=0.000958538
BFGS iter 27: f=0.000958467
BFGS iter 28: f=0.000958381
BFGS iter 29: f=0.000958297
BFGS iter 30: f=0.000958234
BFGS iter 31: f=0.000958151
BFGS iter 32: f=0.00095799
BFGS iter 33: f=0.000957946
BFGS iter 34: f=0.000957929
BFGS iter 35: f=0.000957896
BFGS iter 36: f=0.00095781
BFGS iter 37: f=0.000957766
BFGS iter 38: f=0.000957748
BFGS iter 39: f=0.00095773
BFGS iter 40: f=0.000957698
BFGS iter 41: f=0.000957659
BFGS iter 42: f=0.000957629
BFGS iter 43: f=0.000957607
BFGS iter 44: f=0.000957574
BFGS iter 45: f=0.000957431
BFGS iter 46: f=0.000957383
BFGS iter 47: f=0.000957373
BFGS iter 48: f=0.000957351
BFGS iter 49: f=0.000957319
BFGS iter 50: f=0.000955608
BFGS iter 51: f=0.000955278
BFGS iter 52: f=0.000955124
BFGS iter 53: f=0.00095509
BFGS iter 54: f=0.000955075
BFGS iter 55: f=0.000955063
BFGS iter 56: f=0.000955026
BFGS iter 57: f=0.000954992
BFGS iter 58: f=0.000954975
BFGS iter 59: f=0.00095497
BFGS iter 60: f=0.000954962
BFGS iter 61: f=0.000954939
BFGS iter 62: f=0.000954912
BFGS iter 63: f=0.000954887
BFGS iter 64: f=0.00095487
BFGS iter 65: f=0.000954848
BFGS iter 66: f=0.000954819
BFGS iter 67: f=0.000954802
BFGS iter 68: f=0.000954772
BFGS iter 69: f=0.000954718
BFGS iter 70: f=0.00095467
BFGS iter 71: f=0.000954619
BFGS iter 72: f=0.000954602
BFGS iter 73: f=0.000954579
BFGS iter 74: f=0.000954565
BFGS iter 75: f=0.000954539
BFGS iter 76: f=0.00095451
BFGS iter 77: f=0.00095448
BFGS iter 78: f=0.000954467
BFGS iter 79: f=0.000954462
BFGS iter 80: f=0.000954453
BFGS iter 81: f=0.000954437
BFGS iter 82: f=0.000954428
BFGS iter 83: f=0.000954421
BFGS iter 84: f=0.000954415
BFGS iter 85: f=0.000954386
BFGS iter 86: f=0.000954297
BFGS iter 87: f=0.000954254
BFGS iter 88: f=0.00095424
BFGS iter 89: f=0.000954234
BFGS iter 90: f=0.000954229
BFGS iter 91: f=0.000954208
BFGS iter 92: f=0.000954182
BFGS iter 93: f=0.000954172
BFGS iter 94: f=0.000954164
BFGS iter 95: f=0.000954156
BFGS iter 96: f=0.000954149
BFGS iter 97: f=0.000954141
BFGS iter 98: f=0.000954124
BFGS iter 99: f=0.000954099
BFGS iter 100: f=0.000952836
BFGS iter 101: f=0.00095269
BFGS iter 102: f=0.000952565
BFGS iter 103: f=0.000952427
BFGS iter 104: f=0.00095231
BFGS iter 105: f=0.000952193
BFGS iter 106: f=0.000952138
BFGS iter 107: f=0.000952107
BFGS iter 108: f=0.000952077
BFGS iter 109: f=0.000952066
BFGS iter 110: f=0.000952059
BFGS iter 111: f=0.000952056
BFGS iter 112: f=0.000952054
BFGS iter 113: f=0.000952052
BFGS iter 114: f=0.000952048
BFGS iter 115: f=0.000952026
BFGS iter 116: f=0.000952005
BFGS iter 117: f=0.000951995
BFGS iter 118: f=0.000951984
BFGS iter 119: f=0.000951973
BFGS iter 120: f=0.000951953
BFGS iter 121: f=0.000951925
BFGS iter 122: f=0.000951902
BFGS iter 123: f=0.000951881
BFGS iter 124: f=0.000951874
BFGS iter 125: f=0.000951871
BFGS iter 126: f=0.000951869
BFGS iter 127: f=0.000951864
BFGS iter 128: f=0.000951803
BFGS iter 129: f=0.000951764
BFGS iter 130: f=0.000951725
BFGS iter 131: f=0.000951696
BFGS iter 132: f=0.000951677
BFGS iter 133: f=0.000951666
BFGS iter 134: f=0.000951661
BFGS iter 135: f=0.000951658
BFGS iter 136: f=0.000951652
BFGS iter 137: f=0.000951618
BFGS iter 138: f=0.00095153
BFGS iter 139: f=0.00095149
BFGS iter 140: f=0.000951473
BFGS iter 141: f=0.000951468
BFGS iter 142: f=0.000951466
BFGS iter 143: f=0.000951463
BFGS iter 144: f=0.000951461
BFGS iter 145: f=0.000951458
BFGS iter 146: f=0.000951453
BFGS iter 147: f=0.000951445
BFGS iter 148: f=0.000951433
BFGS iter 149: f=0.000951414
BFGS iter 150: f=0.000950184
BFGS iter 151: f=0.000950141
BFGS iter 152: f=0.000950105
BFGS iter 153: f=0.000950031
BFGS iter 154: f=0.000949999
BFGS iter 155: f=0.000949892
BFGS iter 156: f=0.000949844
BFGS iter 157: f=0.000949772
BFGS iter 158: f=0.000949667
BFGS iter 159: f=0.000949593
BFGS iter 160: f=0.000949528
BFGS iter 161: f=0.000949491
BFGS iter 162: f=0.000949446
BFGS iter 163: f=0.000949416
BFGS iter 164: f=0.000949403
